"","Year","Month","Province","DF","ENCEP","INFLUENZA","MALARIA","PNEU","CHOL","TB","LEPTO","MELIOID"
"362",2003,2,"Samut Songkhram",2,0,53,1,20,0,25,0,1
"363",2003,2,"Saraburi",6,0,6,4,131,0,23,2,0
"364",2003,2,"Satun",0,0,20,2,20,0,27,2,0
"365",2003,2,"Si Sa Ket",24,0,43,2,261,0,31,4,0
"366",2003,2,"Sing Buri",1,0,18,0,50,0,30,8,0
"367",2003,2,"Songkhla",32,1,71,2,156,0,27,19,0
"368",2003,2,"Sukhothai",1,0,6,6,126,0,22,18,0
"369",2003,2,"Suphan Buri",10,2,38,1,128,0,17,17,0
"370",2003,2,"Surat Thani",20,0,156,1,154,0,12,4,0
"371",2003,2,"Surin",10,0,27,1,462,0,16,4,0
"372",2003,2,"Tak",4,2,37,2,123,0,12,1,0
"373",2003,2,"Trang",9,0,133,3,84,0,42,4,0
"374",2003,2,"Trat",0,0,3,4,27,1,43,0,0
"375",2003,2,"Ubon Ratchathani",14,0,52,8,344,0,25,1,0
"376",2003,2,"Udon Thani",1,0,52,6,189,1,21,1,0
"377",2003,2,"Uthai Thani",4,1,13,7,86,1,22,1,0
"378",2003,2,"Uttaradit",6,0,2,11,85,0,15,0,0
"379",2003,2,"Yala",37,0,19,6,142,0,14,1,0
"380",2003,2,"Yasothon",4,0,19,3,59,0,11,2,0
"381",2003,3,"Amnat Charoen",2,0,19,7,52,0,4,0,0
"382",2003,3,"Ang Thong",1,0,1,15,56,0,14,0,0
"383",2003,3,"Bangkok",63,0,25,9,237,0,17,1,0
"384",2003,3,"Buri Ram",26,0,84,10,356,0,8,0,0
"385",2003,3,"Chachoengsao",0,0,30,1,160,0,59,1,0
"386",2003,3,"Chai Nat",6,0,5,0,40,0,44,0,0
"387",2003,3,"Chaiyaphum",19,1,19,0,174,0,42,2,0
"388",2003,3,"Chanthaburi",8,0,37,1,86,0,23,2,1
"389",2003,3,"Chiang Mai",2,0,39,0,383,0,27,1,2
"390",2003,3,"Chiang Rai",1,1,28,0,508,0,24,3,1
"391",2003,3,"Chon Buri",6,0,32,0,71,0,19,7,0
"392",2003,3,"Chumphon",8,0,12,0,71,0,28,23,2
"393",2003,3,"Kalasin",20,1,7,0,99,0,27,14,0
